sep=;
from;to;distance;time
Annadal kliniek Poli;EQEI - Xpert Clinic Proctologie Eindhoven;91.600367;67.49663333333334
Annadal kliniek Poli;EQEI - Xpert Orthopedie Eindhoven;91.600367;67.49663333333334
Annadal kliniek Poli;EQEI - Xpert Orthopedie Schijndel;112.453057;83.71589999999999
Annadal kliniek Poli;EQEN - Velthuis Kliniek Enschede;235.670645;187.8768
Annadal kliniek Poli;EQEN - Xpert Clinic Hand Enschede;235.670645;187.8768
Annadal kliniek Poli;EQEN - Xpert Clinic Proctologie Enschede;235.670645;187.8768
Annadal kliniek Poli;EQR - Velthuis Kliniek Rotterdam;191.015922;137.03333333333333
Annadal kliniek Poli;EQR - Xpert Clinic Hand Rotterdam;191.015922;137.03333333333333
Annadal kliniek Poli;EQR - Xpert Clinic Proctologie Rotterdam;191.015922;137.03333333333333
Annadal kliniek Poli;EQR - Xpert Orthopedie Rotterdam;191.015922;137.03333333333333
Annadal kliniek Poli;EQRZD - Hand pols Rozendaal;159.465086;122.64121666666666
Annadal kliniek Poli;EQRZD - Orthopedie Rozendaal;159.465086;122.64121666666666
Annadal kliniek Poli;Equip Amsterdam;196.538434;150.08016666666666
Annadal kliniek Poli;Equipe Enschede;196.538434;150.08016666666666
Annadal kliniek Poli;EQV - Velthuis Kliniek Velp;159.465086;122.64121666666666
Annadal kliniek Poli;EQV - Xpert Clinic Hand Velp;158.22372399999998;120.95941666666666
Annadal kliniek Poli;EQV - Xpert Clinic Proctologie Velp;159.465086;122.64121666666666
Annadal kliniek Poli;EQZ - Xpert Clinic Oogzorg Zeist;177.287035;137.1198
Annadal kliniek Poli;EQZW - Xpert Clinic Hand Zwolle;224.014992;165.33858333333333
Annadal kliniek Poli;Esser Clinics;197.024401;150.69328333333334
Annadal kliniek Poli;Flex Clinics;171.68792000000002;135.23286666666667
Annadal kliniek Poli;Haaglanden Clinics;219.740831;164.60658333333333
Annadal kliniek Poli;Kazem;205.659871;167.61758333333333
Annadal kliniek Poli;KNO de Jong;176.532853;138.0437
Annadal kliniek Poli;Medcentric MWCZ;226.780232;155.58248333333333
Annadal kliniek Poli;Medtronic;89.317058;66.96898333333334
Annadal kliniek Poli;Orthoparc Rozendaal;159.465086;122.64121666666666
Annadal kliniek Poli;Pro-Motion;180.74201;130.32988333333333
Annadal kliniek Poli;Retina eye care;175.22061499999998;137.25675
Annatommie Amstelveen;De Meern;33.786911999999994;27.58323333333333
Annatommie Amstelveen;Andros Clinics Rijswijk;52.267363;36.46946666666667
Annatommie Amstelveen;Annadal kliniek;203.740764;147.59518333333332
Annatommie Amstelveen;Annadal kliniek Poli;203.740764;147.59518333333332
Annatommie Amstelveen;Annatommie Utrecht;34.582573;25.991933333333336
Annatommie Amstelveen;Arthrex;35.298182999999995;27.106983333333336
Annatommie Amstelveen;Cosmed Bosch en Duin OK;46.261688;38.03585
Annatommie Amstelveen;Cosmed Bosch en Duin Poli;46.261688;38.03585
Annatommie Amstelveen;Denticien;52.382257;37.76708333333333
Annatommie Amstelveen;Dermaclinic Utrecht;36.606657;33.27106666666666
Annatommie Amstelveen;Doctors at soap;36.125881;32.24085
Annatommie Amstelveen;EQA - Velthuis Kliniek Amsterdam;7.147239;8.090183333333334
Annatommie Amstelveen;EQA - Xpert Clinic Hand Amsterdam;7.147239;8.090183333333334
Annatommie Amstelveen;EQA - Xpert Clinic Proctologie Amsterdam;7.147239;8.090183333333334
Annatommie Amstelveen;EQA - Xpert Orthopedie Amsterdam;7.147239;8.090183333333334
Annatommie Amstelveen;EQEI - Velthuis Kliniek Eindhoven;117.5341;81.94753333333333
Annatommie Amstelveen;EQEI - Xpert Clinic Hand Eindhoven;117.5341;81.94753333333333
Annatommie Amstelveen;EQEI - Xpert Clinic Proctologie Eindhoven;117.5341;81.94753333333333
Annatommie Amstelveen;EQEI - Xpert Orthopedie Eindhoven;117.5341;81.94753333333333
Annatommie Amstelveen;EQEI - Xpert Orthopedie Schijndel;93.651548;68.01513333333334
Annatommie Amstelveen;EQEN - Velthuis Kliniek Enschede;155.75637400000002;111.12636666666668
Annatommie Amstelveen;EQEN - Xpert Clinic Hand Enschede;155.75637400000002;111.12636666666668
Annatommie Amstelveen;EQEN - Xpert Clinic Proctologie Enschede;155.75637400000002;111.12636666666668
Annatommie Amstelveen;EQR - Velthuis Kliniek Rotterdam;60.000459;58.9685
Annatommie Amstelveen;EQR - Xpert Clinic Hand Rotterdam;60.000459;58.9685
Annatommie Amstelveen;EQR - Xpert Clinic Proctologie Rotterdam;60.000459;58.9685
Annatommie Amstelveen;EQR - Xpert Orthopedie Rotterdam;60.000459;58.9685
Annatommie Amstelveen;EQRZD - Hand pols Rozendaal;99.506733;69.61705
Annatommie Amstelveen;EQRZD - Orthopedie Rozendaal;99.506733;69.61705
Annatommie Amstelveen;Equip Amsterdam;7.147239;8.090183333333334
Annatommie Amstelveen;Equipe Enschede;7.147239;8.090183333333334
Annatommie Amstelveen;EQV - Velthuis Kliniek Velp;99.506733;69.61705
Annatommie Amstelveen;EQV - Xpert Clinic Hand Velp;100.321284;70.40121666666667
Annatommie Amstelveen;EQV - Xpert Clinic Proctologie Velp;99.506733;69.61705
Annatommie Amstelveen;EQZ - Xpert Clinic Oogzorg Zeist;48.774161;35.66543333333333
Annatommie Amstelveen;EQZW - Xpert Clinic Hand Zwolle;107.531674;79.63015
Annatommie Amstelveen;Esser Clinics;41.639531000000005;45.77365
Annatommie Amstelveen;Flex Clinics;29.591781;21.92455
Annatommie Amstelveen;Haaglanden Clinics;53.399448;41.29046666666667
Annatommie Amstelveen;Kazem;10.919208;12.173383333333334
Annatommie Amstelveen;KNO de Jong;29.940234;23.444766666666663
Annatommie Amstelveen;Medcentric MWCZ;143.94466599999998;120.60538333333334
Annatommie Amstelveen;Medtronic;115.128521;81.87376666666667
Annatommie Amstelveen;Orthoparc Rozendaal;99.506733;69.61705
Annatommie Amstelveen;Pro-Motion;71.11919;66.09015000000001
Annatommie Amstelveen;Retina eye care;50.619387;37.56733333333333
Annatommie Utrecht;De Meern;4.195912999999999;5.200266666666667
Annatommie Utrecht;Andros Clinics Rijswijk;56.456452;40.19961666666666
Annatommie Utrecht;Annadal kliniek;172.25886;127.7796
Annatommie Utrecht;Annadal kliniek Poli;172.25886;127.7796
Annatommie Utrecht;Annatommie Amstelveen;34.959696;26.51963333333333
Annatommie Utrecht;Arthrex;1.2013710000000002;1.7486833333333334
Annatommie Utrecht;Cosmed Bosch en Duin OK;15.672087;17.710283333333333
Annatommie Utrecht;Cosmed Bosch en Duin Poli;15.672087;17.710283333333333
Annatommie Utrecht;Denticien;56.689083;41.57335
Annatommie Utrecht;Dermaclinic Utrecht;5.708137;8.529516666666668
Annatommie Utrecht;Doctors at soap;5.453060000000001;8.28085
Annatommie Utrecht;EQA - Velthuis Kliniek Amsterdam;31.132962;23.02263333333333
Annatommie Utrecht;EQA - Xpert Clinic Hand Amsterdam;31.132962;23.02263333333333
Annatommie Utrecht;EQA - Xpert Clinic Proctologie Amsterdam;31.132962;23.02263333333333
Annatommie Utrecht;EQA - Xpert Orthopedie Amsterdam;31.132962;23.02263333333333
Annatommie Utrecht;EQEI - Velthuis Kliniek Eindhoven;86.052196;62.13195
Annatommie Utrecht;EQEI - Xpert Clinic Hand Eindhoven;86.052196;62.13195
Annatommie Utrecht;EQEI - Xpert Clinic Proctologie Eindhoven;86.052196;62.13195
Annatommie Utrecht;EQEI - Xpert Orthopedie Eindhoven;86.052196;62.13195
Annatommie Utrecht;EQEI - Xpert Orthopedie Schijndel;62.16964299999999;48.19955
Annatommie Utrecht;EQEN - Velthuis Kliniek Enschede;135.888467;99.70921666666666
Annatommie Utrecht;EQEN - Xpert Clinic Hand Enschede;135.888467;99.70921666666666
Annatommie Utrecht;EQEN - Xpert Clinic Proctologie Enschede;135.888467;99.70921666666666
Annatommie Utrecht;EQR - Velthuis Kliniek Rotterdam;50.642982;37.09183333333333
Annatommie Utrecht;EQR - Xpert Clinic Hand Rotterdam;50.642982;37.09183333333333
Annatommie Utrecht;EQR - Xpert Clinic Proctologie Rotterdam;50.642982;37.09183333333333
Annatommie Utrecht;EQR - Xpert Orthopedie Rotterdam;50.642982;37.09183333333333
Annatommie Utrecht;EQRZD - Hand pols Rozendaal;65.638091;47.20551666666667
Annatommie Utrecht;EQRZD - Orthopedie Rozendaal;65.638091;47.20551666666667
Annatommie Utrecht;Equip Amsterdam;31.132962;23.02263333333333
Annatommie Utrecht;Equipe Enschede;31.132962;23.02263333333333
Annatommie Utrecht;EQV - Velthuis Kliniek Velp;65.638091;47.20551666666667
Annatommie Utrecht;EQV - Xpert Clinic Hand Velp;66.45264200000001;47.98968333333333
Annatommie Utrecht;EQV - Xpert Clinic Proctologie Velp;65.638091;47.20551666666667
Annatommie Utrecht;EQZ - Xpert Clinic Oogzorg Zeist;15.999159;15.105166666666666
Annatommie Utrecht;EQZW - Xpert Clinic Hand Zwolle;97.248391;69.64468333333333
Annatommie Utrecht;Esser Clinics;32.442985;24.53033333333333
Annatommie Utrecht;Flex Clinics;5.817769;7.588416666666666
Annatommie Utrecht;Haaglanden Clinics;60.383449;45.25535
Annatommie Utrecht;Kazem;40.2544;40.56005
Annatommie Utrecht;KNO de Jong;9.464729;13.09445
Annatommie Utrecht;Medcentric MWCZ;134.58718900000002;98.72871666666668
Annatommie Utrecht;Medtronic;83.646616;62.05818333333333
Annatommie Utrecht;Orthoparc Rozendaal;65.638091;47.20551666666667
Annatommie Utrecht;Pro-Motion;55.839162;49.578966666666666
Annatommie Utrecht;Retina eye care;16.750745;15.1558
Arthrex;De Meern;4.708198;6.05015
Arthrex;Andros Clinics Rijswijk;56.333352;38.60175
Arthrex;Annadal kliniek;171.44992800000003;126.90615
Arthrex;Annadal kliniek Poli;171.44992800000003;126.90615
Arthrex;Annatommie Amstelveen;35.842398;26.166866666666667
Arthrex;Annatommie Utrecht;1.165863;1.7023833333333334
Arthrex;Cosmed Bosch en Duin OK;16.312769;18.727666666666668
Arthrex;Cosmed Bosch en Duin Poli;16.312769;18.727666666666668
Arthrex;Denticien;56.565982000000005;39.97548333333334
Arthrex;Dermaclinic Utrecht;6.3488180000000005;9.5469
Arthrex;Doctors at soap;6.093742;9.298233333333334
Arthrex;EQA - Velthuis Kliniek Amsterdam;32.015665;22.669866666666667
Arthrex;EQA - Xpert Clinic Hand Amsterdam;32.015665;22.669866666666667
Arthrex;EQA - Xpert Clinic Proctologie Amsterdam;32.015665;22.669866666666667
Arthrex;EQA - Xpert Orthopedie Amsterdam;32.015665;22.669866666666667
Arthrex;EQEI - Velthuis Kliniek Eindhoven;85.243264;61.258500000000005
Arthrex;EQEI - Xpert Clinic Hand Eindhoven;85.243264;61.258500000000005
Arthrex;EQEI - Xpert Clinic Proctologie Eindhoven;85.243264;61.258500000000005
Arthrex;EQEI - Xpert Orthopedie Eindhoven;85.243264;61.258500000000005
Arthrex;EQEI - Xpert Orthopedie Schijndel;61.360711;47.3261
Arthrex;EQEN - Velthuis Kliniek Enschede;136.529148;100.7266
Arthrex;EQEN - Xpert Clinic Hand Enschede;136.529148;100.7266
Arthrex;EQEN - Xpert Clinic Proctologie Enschede;136.529148;100.7266
Arthrex;EQR - Velthuis Kliniek Rotterdam;50.519882;35.493966666666665
Arthrex;EQR - Xpert Clinic Hand Rotterdam;50.519882;35.493966666666665
Arthrex;EQR - Xpert Clinic Proctologie Rotterdam;50.519882;35.493966666666665
Arthrex;EQR - Xpert Orthopedie Rotterdam;50.519882;35.493966666666665
Arthrex;EQRZD - Hand pols Rozendaal;64.829159;46.33206666666667
Arthrex;EQRZD - Orthopedie Rozendaal;64.829159;46.33206666666667
Arthrex;Equip Amsterdam;32.015665;22.669866666666667
Arthrex;Equipe Enschede;32.015665;22.669866666666667
Arthrex;EQV - Velthuis Kliniek Velp;64.829159;46.33206666666667
Arthrex;EQV - Xpert Clinic Hand Velp;65.643711;47.11623333333333
Arthrex;EQV - Xpert Clinic Proctologie Velp;64.829159;46.33206666666667
Arthrex;EQZ - Xpert Clinic Oogzorg Zeist;16.639841;16.12255
Arthrex;EQZW - Xpert Clinic Hand Zwolle;97.889073;70.66206666666668
Arthrex;Esser Clinics;32.319883999999995;22.932466666666667
Arthrex;Flex Clinics;6.330055000000001;8.4383
Arthrex;Haaglanden Clinics;60.260349000000005;43.65748333333333
Arthrex;Kazem;41.137102;40.20728333333333
Arthrex;KNO de Jong;11.99334;10.622233333333332
Arthrex;Medcentric MWCZ;134.464089;97.13085
Arthrex;Medtronic;82.837685;61.18473333333333
Arthrex;Orthoparc Rozendaal;64.829159;46.33206666666667
Arthrex;Pro-Motion;55.030231;48.70551666666667
Arthrex;Retina eye care;15.941813;14.28235
Cosmed Bosch en Duin OK;De Meern;19.369051;20.43638333333333
Cosmed Bosch en Duin OK;Andros Clinics Rijswijk;71.87349800000001;51.98718333333333
Cosmed Bosch en Duin OK;Annadal kliniek;182.310514;133.80461666666667
Cosmed Bosch en Duin OK;Annadal kliniek Poli;182.310514;133.80461666666667
Cosmed Bosch en Duin OK;Annatommie Amstelveen;44.669102;39.88055
Cosmed Bosch en Duin OK;Annatommie Utrecht;16.443586;16.893250000000002
Cosmed Bosch en Duin OK;Arthrex;16.948925;15.404050000000002
Cosmed Bosch en Duin OK;Cosmed Bosch en Duin Poli;0.0;0.0
Cosmed Bosch en Duin OK;Denticien;72.106129;53.36091666666667
Cosmed Bosch en Duin OK;Dermaclinic Utrecht;10.461439;10.223966666666666
Cosmed Bosch en Duin OK;Doctors at soap;11.320684;12.045
Cosmed Bosch en Duin OK;EQA - Velthuis Kliniek Amsterdam;40.842369;36.38355
Cosmed Bosch en Duin OK;EQA - Xpert Clinic Hand Amsterdam;40.842369;36.38355
Cosmed Bosch en Duin OK;EQA - Xpert Clinic Proctologie Amsterdam;40.842369;36.38355
Cosmed Bosch en Duin OK;EQA - Xpert Orthopedie Amsterdam;40.842369;36.38355
Cosmed Bosch en Duin OK;EQEI - Velthuis Kliniek Eindhoven;96.10385;68.15696666666666
Cosmed Bosch en Duin OK;EQEI - Xpert Clinic Hand Eindhoven;96.10385;68.15696666666666
Cosmed Bosch en Duin OK;EQEI - Xpert Clinic Proctologie Eindhoven;96.10385;68.15696666666666
Cosmed Bosch en Duin OK;EQEI - Xpert Orthopedie Eindhoven;96.10385;68.15696666666666
Cosmed Bosch en Duin OK;EQEI - Xpert Orthopedie Schijndel;72.22129799999999;54.22456666666667
Cosmed Bosch en Duin OK;EQEN - Velthuis Kliniek Enschede;125.311845;90.22336666666666
Cosmed Bosch en Duin OK;EQEN - Xpert Clinic Hand Enschede;125.311845;90.22336666666666
Cosmed Bosch en Duin OK;EQEN - Xpert Clinic Proctologie Enschede;125.311845;90.22336666666666
Cosmed Bosch en Duin OK;EQR - Velthuis Kliniek Rotterdam;66.060028;48.8794
Cosmed Bosch en Duin OK;EQR - Xpert Clinic Hand Rotterdam;66.060028;48.8794
Cosmed Bosch en Duin OK;EQR - Xpert Clinic Proctologie Rotterdam;66.060028;48.8794
Cosmed Bosch en Duin OK;EQR - Xpert Orthopedie Rotterdam;66.060028;48.8794
Cosmed Bosch en Duin OK;EQRZD - Hand pols Rozendaal;59.697244;46.521566666666665
Cosmed Bosch en Duin OK;EQRZD - Orthopedie Rozendaal;59.697244;46.521566666666665
Cosmed Bosch en Duin OK;Equip Amsterdam;40.842369;36.38355
Cosmed Bosch en Duin OK;Equipe Enschede;40.842369;36.38355
Cosmed Bosch en Duin OK;EQV - Velthuis Kliniek Velp;59.697244;46.521566666666665
Cosmed Bosch en Duin OK;EQV - Xpert Clinic Hand Velp;60.511795;47.305733333333336
Cosmed Bosch en Duin OK;EQV - Xpert Clinic Proctologie Velp;59.697244;46.521566666666665
